equipment_type_desc,circuit_label_type_desc,sum_power,category
"Stove Hood, Etc.",Other,54.967,Other
Stove: Electricoven:  Electric - Stove/Oven,Other,12.189,Other
Stove: Electricoven:  Electric - Stove/Oven,Stove/Oven/Range,15313.102999999996,Appliances
Stove: Electricoven:  No Oven - Stove/Oven,Stove/Oven/Range,306.987,Appliances
Stove: Gasoven:  Dual Gas/Electric - Stove/Oven,Stove/Oven/Range,44.308,Appliances
Stove: Gasoven:  Electric - Stove/Oven,Stove/Oven/Range,623.394,Appliances
Stove: Gasoven:  Gas - Stove/Oven,Stove/Oven/Range,238.40400000000005,Appliances
Stove: Gasoven:  No Oven - Stove/Oven,Stove/Oven/Range,112.855,Appliances
Stove: No Stoveoven:  Electric - Stove/Oven,Other,0,Other
Stove: No Stoveoven:  Electric - Stove/Oven,Stove/Oven/Range,666.2060000000001,Appliances
Stove: Propaneoven:  Propane - Stove/Oven,Stove/Oven/Range,175.899,Appliances
Studio AC Plug,Other,0,Other
Studio Plugs,Other,22.781,Other
Sub Main,Other,811.31,Other
Sub Panel,Other,400.455,Other
Sub Panel Feed For Shop,Other,2164.513,Other
Subfeed To Garage/shop,Other,461.741,Other
Sump Pump,Other,0.192,Other
Sump Pump For Basement Bathroom,Other,0.312,Other
Sun Room Heater,Other Zonal Heat,1125.222,Heating
"SW Bedroom Studio, Small Blue Bedroom, Inside Wall Outlet And Master, Front Porch Outlet",Other,346.465,Other
Tankless Electric Hot Water Heater,Instantaneous Water Heater (Elec),90.969,Heating
Test Circuit,Other,19.524,Other
Toaster GFCI,Other,195.475,Other
Top Floor North Plugs,Other,14.422,Other
Top Floor South Plugs,Other,131.09199999999998,Other
Trash Compactor,Other,29.439,Other
Trash Compactor,Other,0.007,Other
Tub,Other,3.243,Other
TV + Others,Other,826.951,Other
TV Play,Other,217.565,Other
TV Room,Other,4.052,Other
TV Room & Kitchen Counter Outlets & Refrigerator,Other,226.907,Other
"TV Room Outlets, East Wall",Other,0,Other
"Tv Room, Living Room",Other,118.45,Other
TV/VCR Outlet Only,Other,140.13,Other
Unclear,Electric Baseboard Heaters,618.747,Heating
Unclear,Electric Baseboard Heaters,0.03,Heating
Unclear,Other,0,Other
Under Counter Lights,Other,151.038,Other
Unknown,Other,894.0870000000001,Other
Unknown,Other,1130.904,Other
Unknown - Dryer,Clothes Dryer,1252.013,Appliances
"Unknown - Labeled Lighting, Could Also Include Outlets",Other,141.119,Other
"Unknown - Lights, But May Also Include Outlets",Other,156.089,Other
Unknown - Mini-Split AC,Ductless Heatpump,0,Heating
Unknown - Packaged AC,Central AC,8.727,AC
Unknown - Packaged AC,Other,0.001,Other
Unknown - Packaged AC,Room AC,0,AC
Unknown - Water Heater - Unknown,Electric Resistance Storage Water Heaters,816.478,Heating
